Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
317	3.1108	8.4453	33.866	
318	7.8489	4.404	34.234	
319	7.597	-4.8256	32.517	
320	8.9254	1.1563	30.109	
321	6.8954	5.7839	29.079	
322	1.3804	8.8935	28.526	
323	-4.8035	7.6109	28.55	
324	-8.5089	2.9324	29.165	
325	-6.4977	-6.2274	30.393	
326	-7.7622	4.5551	33.095	
327	-3.1821	8.4187	33.727	
328	8.4874	2.9939	31.989	
329	-8.9717	-0.71357	31.434	
330	0.64241	8.977	31.511	
331	6.4504	6.2763	31.956	
332	4.0004	8.0621	30.883	
333	-2.1729	8.7338	30.627	
334	-5.3396	7.2449	31.579	
335	4.0116	0.	0.	
336	-3.373	-0.88658	0.	
337	-0.79357	4.0674	0.	
338	0.79704	-4.4417	0.	
339	4.0116	0.	65.	
340	-3.373	-0.88658	65.	
341	-0.79357	4.0674	65.	
342	0.79704	-4.4417	65.	
343	0.64335	5.2912	30.03	
344	2.8675	-4.528	60.805	
345	4.4724	-3.5176	42.742	
346	0.71513	-5.0365	22.952	
347	-1.0338	5.236	12.93	
348	3.4	4.9229	19.624	
349	5.3651	-2.5343e-002	16.858	
350	-4.4275	1.1968	6.6896	
351	1.7951	-5.0523	5.5898	
352	3.4624	3.2039	53.618	
353	-5.2463	-2.0467	16.689	
354	3.0753	4.9434	47.769	
355	5.7282	-1.1325	10.731	
356	-3.8392	1.3354	26.505	
357	2.0286	5.0925	8.0401	
358	-4.9197	0.48432	37.23	
359	-2.43	-5.5553	61.903	
360	4.8378	-0.42664	39.188	
361	-3.4441	4.0651	59.217	
362	1.8562	-4.4876	52.621	
363	-5.7699	-0.77183	43.495	
364	-5.2814	-0.14778	50.062	
365	-2.1839	-3.196	31.649	
366	-5.191	-0.41359	60.597	
367	-3.2791	-3.9728	39.268	
368	4.4503	3.2393	60.586	
369	5.3504	3.6263	2.9871	
370	-1.6861	-4.994	13.001	
371	5.2631	1.2189	33.429	
372	-4.6355	4.2258	2.6757	
373	5.131	-1.3966	4.4587	
374	4.8907	2.0694	25.321	
375	1.8726	-4.5086	35.932	
376	-1.0533	-5.9848	43.62	
377	5.6529	0.22448	47.92	
378	-4.9535	-4.1445	2.9474	
379	-2.4347	5.1927	54.815	
380	2.0712	5.8036	24.785	
381	5.919	-2.0599	21.835	
382	4.0884	-2.5901	28.803	
383	1.3995	5.1986	35.625	
384	-1.8642	-5.9795	18.189	
385	2.9193	-5.2887	12.033	
386	5.7664	-1.2125	56.668	
387	-4.8796	-1.8727	55.217	
388	-2.3647	5.4331	49.234	
389	-1.9	5.0506	41.687	
390	0.53779	6.0858	60.101	
391	5.2793	3.4608	42.261	
392	-3.4457	4.0467	33.354	
393	-5.3267	-2.6781	22.036	
394	-3.7691	4.9726	23.425	
395	-4.861	-3.5549	27.104	
396	-4.5984	2.9599	15.973	
397	-5.8652	0.20216	11.876	
398	-3.6684	-4.7148	7.8035	
399	3.6904	3.8934	14.295	
400	-2.4299e-003	-6.0023	57.3	
401	-2.1226	5.951	18.235	
402	-2.471	-5.119	49.134	
403	-8.6877e-002	0.81449	19.602	
404	3.4097	-5.3824	17.342	
405	0.27758	-0.30156	10.951	
406	5.4793	3.2737	7.9713	
407	-2.8442	-6.3457	23.2	
408	1.0825	-6.3232	27.88	
409	0.65889	6.8355	5.7933	
410	-1.1488	6.9523	22.256	
411	-5.2209	4.3717	46.426	
412	9.8704e-003	-0.29669	45.212	
413	-6.1446	1.8851	20.986	
414	0.18068	-0.31759	59.548	
415	4.6298	4.7912	36.458	
416	1.6871	6.4623	55.92	
417	-3.3902	-6.0122	58.282	
418	4.047	-4.7487	47.3	
419	5.8571	-3.0909	61.55	
420	6.9401	0.65929	62.419	
421	-1.6195	-6.3545	2.6158	
