Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
3772	-4,5	10,537	5,4688	
3773	-4,5	29,124	7,2908	
3774	-4,5	10,225	2,276	
3775	-4,5	15,909	5,5608	
3776	-4,5	17,531	1,875	
3777	-4,5	12,781	7,5	
3778	-4,5	13,844	7,5	
3779	-4,5	13,844	2,5	
3780	-4,5	12,79	2,4339	
3781	-4,5	18,281	7,5	
3782	-4,5	19,344	7,5	
3783	-4,5	18,32	2,4249	
3784	-4,5	18,859	3,3333	
3785	-4,5	13,359	3,3333	
3786	-4,5	23,682	3,0664	
3787	-4,5	22,623	3,1055	
3788	-4,5	7,903	0,50528	
3789	-4,5	26,418	5,1005	
3790	-4,5	20,321	0,54508	
3791	-4,5	25,281	3,	
3792	-4,5	22,898	2,4844	
3793	-4,5	23,945	2,4531	
3794	-4,5	24,992	2,4219	
3795	-4,5	26,039	2,3906	
3796	-4,5	25,57	3,5781	
3797	-4,5	16,453	7,3958	
3798	-4,5	23,435	5,7101	
3799	-4,5	14,74	7,3958	
3800	-4,5	20,387	7,4421	
3801	-4,5	24,041	7,432	
3802	-4,5	27,284	0,57813	
3803	-4,5	24,209	1,8398	
3804	-4,5	23,174	1,8633	
3805	-4,5	8,6876	8,8745	
3806	-4,5	25,699	9,5028	
3807	-4,5	27,003	7,6686	
3808	-4,5	26,427	9,0625	
3809	-4,5	26,714	9,5313	
3810	-4,5	29,342	6,2839	
3811	-4,5	22,887	6,5718	
3812	-4,5	24,473	1,2266	
3813	-4,5	23,449	1,2422	
3814	-4,5	26,52	1,1953	
3815	-4,5	25,496	1,2109	
3816	-4,5	28,524	8,3968	
3817	-4,5	24,842	7,8021	
3818	-4,5	28,311	0,55469	
3819	-4,5	24,521	9,125	
3820	-4,5	9,0885	9,4167	
3821	-4,5	24,736	0,61328	
3822	-4,5	23,725	0,62109	
3823	-4,5	27,257	9,4768	
3824	-4,5	23,464	6,5353	
3825	-4,5	22,49	8,2847	
3826	-4,5	24,021	5,6806	
3827	-4,5	25,817	8,1904	
3828	-4,5	9,0835	1,8041	
3829	-4,5	9,1262	8,0773	
3830	-4,5	18,187	0,625	
3831	-4,5	5,6562	4,75	
3832	-4,5	20,688	1,25	
3833	-4,5	7,625	4,5	
3834	-4,5	7,625	5,5	
3835	-4,5	6,3125	5,	
3836	-4,5	6,3125	6,	
3837	-4,5	28,906	4,4375	
3838	-4,5	16,248	5,0776	
3839	-4,5	17,875	8,75	
3840	-4,5	17,905	1,1798	
3841	-4,5	8,9375	5,	
3842	-4,5	12,176	6,6149	
3843	-4,5	28,58	3,5656	
3844	-4,5	24,826	9,5172	
3845	-4,5	5,3784	3,8619	
3846	-4,5	26,912	2,0224	
3847	-4,5	29,406	3,2064	
3848	-4,5	11,34	2,8703	
3849	-4,5	10,656	6,25	
3850	-4,5	10,99	3,3333	
3851	-4,5	10,19	7,0934	
3852	-4,5	7,138	8,4583	
3853	-4,5	6,7662	6,2636	
3854	-4,5	6,0662	4,0151	
3855	-4,5	13,852	1,6926	
3856	-4,5	6,3767	3,2453	
3857	-4,5	16,684	8,75	
3858	-4,5	7,5989	1,7939	
3859	-4,5	6,7182	0,83644	
3860	-4,5	17,944	7,0542	
3861	-4,5	12,5	7,0833	
3862	-4,5	6,5851	2,7083	
3863	-4,5	15,13	4,3886	
3864	-4,5	7,705	6,4911	
3865	-4,5	13,673	2,9442	
3866	-4,5	28,172	9,3646	
3867	-4,5	19,635	7,9167	
3868	-4,5	14,135	7,9167	
3869	-4,5	24,923	5,1868	
3870	-4,5	19,069	7,8978	
3871	-4,5	13,574	7,9042	
3872	-4,5	18,216	3,3537	
3873	-4,5	12,716	3,3537	
3874	-4,5	27,715	3,3653	
3875	-4,5	11,796	9,6166	
3876	-4,5	13,01	2,0833	
3877	-4,5	16,796	2,9335	
3878	-4,5	11,49	7,2917	
3879	-4,5	10,302	2,7083	
3880	-4,5	18,562	7,0874	
3881	-4,5	13,086	7,1354	
3882	-4,5	18,93	9,5313	
3883	-4,5	13,43	9,5313	
3884	-4,5	11,988	2,8972	
3885	-4,5	11,536	6,6385	
3886	-4,5	9,4219	2,375	
3887	-4,5	9,4219	7,625	
3888	-4,5	22,149	7,9268	
3889	-4,5	28,944	1,9974	
3890	-4,5	16,215	9,5833	
3891	-4,5	14,629	1,4563	
3892	-4,5	12,792	0,41667	
3893	-4,5	10,429	3,3422	
3894	-4,5	10,706	7,062	
3895	-4,5	12,504	9,1917	
3896	-4,5	23,67	7,7841	
3897	-4,5	29,562	7,1454	
3898	-4,5	15,089	0,64917	
3899	-4,5	23,842	6,9928	
3900	-4,5	16,73	9,6033	
3901	-4,5	5,8915	2,4362	
3902	-4,5	17,495	2,8936	
3903	-4,5	23,8	9,101	
3904	-4,5	26,781	1,5723	
3905	-4,5	12,271	0,4011	
3906	-4,5	27,441	2,9367	
3907	-4,5	19,13	2,9688	
3908	-4,5	28,329	6,2857	
3909	-4,5	8,7273	7,2356	
3910	-4,5	10,125	9,0625	
3911	-4,5	10,125	0,9375	
3912	-4,5	20,821	2,1065	
3913	-4,5	14,511	2,1494	
3914	-4,5	22,557	5,3368	
3915	-4,5	15,35	2,046	
3916	-4,5	16,386	8,3627	
3917	-4,5	15,256	7,9156	
3918	-4,5	19,128	8,6979	
3919	-4,5	13,628	8,6979	
3920	-4,5	5,4102	3,2229	
3921	-4,5	20,76	7,8958	
3922	-4,5	11,701	4,375	
3923	-4,5	17,201	4,375	
3924	-4,5	23,184	9,0339	
3925	-4,5	11,072	5,3338	
3926	-4,5	20,539	9,3698	
3927	-4,5	19,368	1,6445	
3928	-4,5	21,293	9,0443	
3929	-4,5	6,7305	1,2798	
3930	-4,5	15,831	0,9375	
3931	-4,5	22,371	7,4899	
3932	-4,5	12,113	3,4896	
3933	-4,5	17,613	3,4896	
3934	-4,5	5,8903	7,5593	
3935	-4,5	20,255	2,1507	
3936	-4,5	5,525	2,277	
3937	-4,5	21,6	1,9129	
3938	-4,5	20,692	7,0127	
3939	-4,5	28,434	5,1447	
3940	-4,5	17,062	7,9167	
3941	-4,5	15,924	0,57741	
3942	-4,5	5,7647	9,6707	
3943	-4,5	10,922	4,0913	
3944	-4,5	8,7716	0,38702	
3945	-4,5	10,416	4,0772	
3946	-4,5	9,944	6,7171	
3947	-4,5	22,031	7,0208	
3948	-4,5	10,883	9,375	
3949	-4,5	10,883	0,625	
3950	-4,5	10,047	9,4252	
3951	-4,5	10,046	0,57499	
3952	-4,5	29,223	0,37615	
3953	-4,5	19,168	7,0748	
3954	-4,5	13,677	7,0857	
3955	-4,5	18,58	7,8667	
3956	-4,5	13,079	7,8655	
3957	-4,5	11,795	0,35798	
3958	-4,5	17,21	9,6454	
3959	-4,5	7,6849	9,6017	
3960	-4,5	5,3958	8,7975	
3961	-4,5	6,8134	0,37739	
3962	-4,5	7,3692	7,4932	
3963	-4,5	5,8464	0,39583	
3964	-4,5	5,4232	0,44792	
3965	-4,5	29,162	9,6081	
3966	-4,5	28,791	6,8649	
3967	-4,5	6,9323	6,6875	
3968	-4,5	6,5026	8,4792	
3969	-4,5	29,616	0,43003	
3970	-4,5	29,581	9,554	
3971	-4,5	5,4089	9,6042	
3972	-4,5	8,1372	8,3148	
3973	-4,5	22,895	8,171	
3974	-4,5	8,8672	0,97917	
3975	-4,5	18,142	9,1345	
3976	-4,5	16,518	4,1077	
3977	-4,5	16,078	4,2188	
3978	-4,5	5,6024	6,9167	
3979	-4,5	28,301	5,8531	
3980	-4,5	10,651	5,0198	
3981	-4,5	28,113	8,2797	
3982	-4,5	5,9245	8,6042	
3983	-4,5	15,408	4,7612	
3984	-4,5	27,317	9,019	
3985	-4,5	5,9155	6,2846	
3986	-4,5	5,3917	6,2853	
3987	-4,5	5,9575	6,7083	
3988	-4,5	16,713	0,32686	
3989	-4,5	29,135	5,2292	
3990	-4,5	25,993	9,154	
3991	-4,5	21,734	0,3125	
3992	-4,5	9,5765	2,9266	
3993	-4,5	10,603	2,4473	
3994	-4,5	6,8984	2,25	
3995	-4,5	23,713	9,6172	
3996	-4,5	7,0549	7,1535	
3997	-4,5	23,258	8,4804	
3998	-4,5	29,476	5,3418	
3999	-4,5	16,801	7,6133	
4000	-4,5	16,875	7,2656	
4001	-4,5	6,0432	3,623	
4002	-4,5	10,906	6,5625	
4003	-4,5	10,448	5,8861	
4004	-4,5	16,486	4,612	
4005	-4,5	17,437	7,8173	
4006	-4,5	18,773	1,5851	
4007	-4,5	25,808	0,81578	
4008	-4,5	21,124	7,8134	
4009	-4,5	27,426	6,819	
4010	-4,5	29,027	1,1864	
4011	-4,5	11,618	5,3301	
4012	-4,5	26,209	0,80679	
4013	-4,5	11,052	4,8294	
4014	-4,5	27,907	2,9029	
4015	-4,5	8,3984	3,1265	
4016	-4,5	10,579	0,95104	
4017	-4,5	10,54	9,0417	
4018	-4,5	15,356	0,92361	
4019	-4,5	25,808	0,39752	
4020	-4,5	13,357	0,36458	
4021	-4,5	15,873	2,1254	
4022	-4,5	15,156	7,2656	
4023	-4,5	20,922	1,5625	
4024	-4,5	21,234	0,3125	
4025	-4,5	20,77	9,6849	
4026	-4,5	23,279	9,6784	
4027	-4,5	26,202	0,39875	
4028	-4,5	17,199	0,31505	
4029	-4,5	8,7617	2,7722	
4030	-4,5	27,397	7,8337	
4031	-4,5	8,9052	8,4704	
4032	-4,5	26,441	7,5859	
4033	-4,5	10,227	9,6875	
4034	-4,5	10,227	0,3125	
4035	-4,5	20,816	9,0678	
4036	-4,5	16,92	4,0833	
4037	-4,5	16,918	4,6885	
4038	-4,5	11,413	4,0865	
4039	-4,5	11,433	4,7118	
4040	-4,5	26,913	2,9143	
4041	-4,5	15,724	0,3125	
4042	-4,5	15,277	0,3125	
4043	-4,5	28,977	6,4992	
4044	-4,5	21,213	9,681	
4045	-4,5	27,813	9,627	
4046	-4,5	7,1771	1,591	
4047	-4,5	27,945	5,2248	
4048	-4,5	25,052	9,0496	
4049	-4,5	28,253	8,6759	
4050	-4,5	14,092	2,1237	
4051	-4,5	12,681	9,6316	
4052	-4,5	29,18	4,7031	
4053	-4,5	28,055	4,866	
4054	-4,5	26,344	5,5151	
4055	-4,5	7,4565	0,49952	
4056	-4,5	7,7431	7,9525	
4057	-4,5	7,4015	2,3041	
4058	-4,5	15,293	4,0801	
4059	-4,5	18,07	2,8125	
4060	-4,5	12,57	2,8125	
4061	-4,5	8,498	8,5285	
4062	-4,5	28,572	3,1454	
4063	-4,5	29,511	4,6281	
4064	-4,5	29,427	2,3542	
4065	-4,5	14,222	0,55442	
4066	-4,5	14,222	9,4456	
4067	-4,5	19,722	9,4456	
4068	-4,5	22,243	9,4311	
4069	-4,5	26,393	8,2863	
4070	-4,5	14,821	1,9241	
4071	-4,5	29,694	1,6147	
4072	-4,5	22,426	9,0391	
4073	-4,5	22,869	9,6876	
4074	-4,5	21,192	7,1069	
4075	-4,5	24,436	7,049	
4076	-4,5	23,965	6,4297	
4077	-4,5	22,063	8,3608	
4078	-4,5	21,391	1,5625	
4079	-4,5	9,2969	0,3125	
4080	-4,5	9,7969	0,3125	
4081	-4,5	9,3282	9,0765	
4082	-4,5	9,7969	9,6875	
4083	-4,5	21,96	0,94741	
4084	-4,5	22,297	0,3125	
4085	-4,5	14,42	0,99484	
4086	-4,5	14,859	0,3125	
4087	-4,5	14,391	9,0625	
4088	-4,5	19,865	9,0901	
4089	-4,5	20,358	9,6864	
4090	-4,5	28,033	3,6583	
4091	-4,5	29,66	6,6484	
4092	-4,5	27,538	7,2002	
4093	-4,5	28,337	6,7239	
4094	-4,5	21,552	7,1218	
4095	-4,5	24,633	6,3984	
4096	-4,5	25,039	7,0182	
4097	-4,5	28,903	2,8928	
4098	-4,5	19,99	0,9375	
4099	-4,5	7,3617	2,8439	
4100	-4,5	21,623	9,6885	
4101	-4,5	22,051	9,0391	
4102	-4,5	17,383	7,1875	
4103	-4,5	17,718	6,532	
4104	-4,5	8,1953	1,0625	
4105	-4,5	29,671	1,2202	
4106	-4,5	25,98	6,3203	
4107	-4,5	25,588	5,68	
4108	-4,5	26,395	6,9297	
4109	-4,5	25,83	5,0126	
4110	-4,5	26,66	6,2734	
4111	-4,5	27,006	6,8801	
4112	-4,5	25,301	6,3672	
4113	-4,5	25,715	6,9766	
4114	-4,5	16,126	8,0779	
4115	-4,5	10,631	0,3125	
4116	-4,5	10,631	9,6875	
4117	-4,5	5,3251	6,6548	
4118	-4,5	6,4399	9,1599	
4119	-4,5	15,911	9,1162	
4120	-4,5	16,57	0,9375	
4121	-4,5	16,19	0,3125	
4122	-4,5	26,792	5,8757	
4123	-4,5	27,606	6,0768	
4124	-4,5	16,777	2,1895	
4125	-4,5	17,187	1,5625	
4126	-4,5	27,967	8,9462	
4127	-4,5	20,503	0,9375	
4128	-4,5	21,736	7,7543	
4129	-4,5	17,161	6,5125	
4130	-4,5	28,051	2,5122	
4131	-4,5	5,3464	0,89583	
4132	-4,5	8,2205	2,849	
4133	-4,5	25,126	5,5852	
4134	-4,5	6,0793	9,0413	
4135	-4,5	5,2885	9,2165	
4136	-4,5	15,422	9,0977	
4137	-4,5	27,906	5,6487	
4138	-4,5	29,673	6,2076	
4139	-4,5	27,938	6,4303	
4140	-4,5	27,26	6,4792	
4141	-4,5	16,586	1,5625	
4142	-4,5	16,326	2,2384	
4143	-4,5	28,275	9,6923	
4144	-4,5	8,9406	9,1119	
4145	-4,5	9,3572	9,6941	
4146	-4,5	7,4804	1,4401	
4147	-4,5	17,643	1,5335	
4148	-4,5	17,295	2,178	
4149	-4,5	19,482	0,93481	
4150	-4,5	15,453	6,5625	
4151	-4,5	16,016	3,4375	
4152	-4,5	15,672	2,8125	
4153	-4,5	22,765	0,30697	
4154	-4,5	22,352	0,93997	
4155	-4,5	18,827	6,3213	
4156	-4,5	21,016	3,4375	
4157	-4,5	21,285	4,0695	
4158	-4,5	20,672	2,8125	
4159	-4,5	21,782	2,8078	
4160	-4,5	14,477	4,0829	
4161	-4,5	14,266	3,4057	
4162	-4,5	14,547	5,9375	
4163	-4,5	14,263	6,6036	
4164	-4,5	19,808	3,3905	
4165	-4,5	19,703	4,0625	
4166	-4,5	20,113	4,0398	
4167	-4,5	19,703	6,5625	
4168	-4,5	19,703	5,9375	
4169	-4,5	20,17	5,9857	
4170	-4,5	14,891	5,3125	
4171	-4,5	14,818	4,6982	
4172	-4,5	13,59	5,3271	
4173	-4,5	13,59	4,6754	
4174	-4,5	20,691	4,6857	
4175	-4,5	20,689	5,3116	
4176	-4,5	20,263	4,7378	
4177	-4,5	20,263	5,2622	
4178	-4,5	19,09	5,3257	
4179	-4,5	19,09	4,6825	
4180	-4,5	16,234	2,8125	
4181	-4,5	16,578	3,4375	
4182	-4,5	16,11	7,2089	
4183	-4,5	16,607	6,5194	
4184	-4,5	9,8263	2,1927	
4185	-4,5	9,4862	1,5385	
4186	-4,5	9,395	8,4522	
4187	-4,5	9,8281	7,83	
4188	-4,5	18,594	4,6206	
4189	-4,5	19,055	4,0562	
4190	-4,5	19,352	3,283	
4191	-4,5	19,703	7,1875	
4192	-4,5	19,344	6,6221	
4193	-4,5	19,12	5,9851	
4194	-4,5	18,593	5,3972	
4195	-4,5	14,836	3,4449	
4196	-4,5	14,547	2,8125	
4197	-4,5	15,161	5,9303	
4198	-4,5	15,403	5,2165	
4199	-4,5	14,406	7,2039	
4200	-4,5	14,842	6,5625	
4201	-4,5	20,391	3,4375	
4202	-4,5	20,047	2,8125	
4203	-4,5	20,734	4,0625	
4204	-4,5	20,322	6,5937	
4205	-4,5	14,242	5,3151	
4206	-4,5	13,859	5,9375	
4207	-4,5	13,859	4,0625	
4208	-4,5	14,203	4,6875	
4209	-4,5	19,703	4,6875	
4210	-4,5	19,703	5,3125	
4211	-4,5	19,447	9,061	
4212	-4,5	21,567	3,4375	
4213	-4,5	21,297	2,8125	
4214	-4,5	15,668	7,2263	
4215	-4,5	16,03	6,5284	
4216	-4,5	15,453	3,4375	
4217	-4,5	15,109	2,8125	
4218	-4,5	20,736	0,30305	
4219	-4,5	13,26	6,4015	
4220	-4,5	22,307	1,5761	
4221	-4,5	21,906	1,5688	
4222	-4,5	13,117	4,651	
4223	-4,5	13,461	4,0249	
4224	-4,5	13,83	3,3167	
4225	-4,5	14,12	2,7689	
4226	-4,5	14,099	7,236	
4227	-4,5	13,845	6,7366	
4228	-4,5	13,103	5,4012	
4229	-4,5	14,922	4,1417	
4230	-4,5	14,053	0,92158	
4231	-4,5	13,947	9,0613	
4232	-4,5	20,952	0,95118	
4233	-4,5	17,135	0,93192	
4234	-4,5	10,235	7,8125	
4235	-4,5	9,831	8,4246	
4236	-4,5	29,66	9,173	
4237	-4,5	29,714	0,80206	
4238	-4,5	25,391	4,9952	
4239	-4,5	23,15	7,737	
4240	-4,5	18,217	4,6826	
4241	-4,5	12,65	4,689	
4242	-4,5	12,981	4,0625	
4243	-4,5	18,547	4,0846	
4244	-2,9444	30,	8,2222	
4245	-3,	30,	6,25	
4246	-3,	30,	4,25	
4247	-3,	30,	2,25	
4248	-3,2604	30,	1,0538	
4249	-3,0121	30,	3,337	
4250	-2,9826	30,	5,2992	
4251	-3,	30,	7,25	
4252	-3,1667	30,	8,8333	
4253	-2,6667	30,	1,25	
4254	-2,5	30,	7,	
4255	-3,9737	30,	6,8289	
4256	-2,4737	30,	4,9495	
4257	-3,9848	30,	4,8335	
4258	-2,4779	30,	2,9549	
4259	-4,	30,	2,6689	
4260	-3,6567	30,	3,5535	
4261	-3,569	30,	5,9521	
4262	-2,4352	30,	8,4745	
4263	-3,5	30,	8,	
4264	-2,2489	30,	9,5124	
4265	-3,6406	30,	1,3666	
4266	-1,9861	30,	4,3657	
4267	-1,9444	30,	6,3727	
4268	-2,1667	30,	5,9444	
4269	-2,1667	30,	3,9444	
4270	-2,5	30,	8,	
4271	-3,8333	30,	9,1667	
4272	-2,3333	30,	0,625	
4273	-3,875	30,	0,8125	
4274	-3,8333	30,	2,0833	
4275	-3,75	30,	7,375	
4276	-3,75	30,	5,375	
4277	-3,7195	30,	4,0588	
4278	-2,271	30,	1,8535	
4279	-3,6667	30,	8,5833	
4280	-3,3382	30,	9,4923	
4281	-2,7222	30,	9,1389	
4282	-2,0521	30,	1,1589	
4283	-3,1868	30,	1,6522	
4284	-3,3657	30,	0,48158	
4285	-2,	30,	7,75	
4286	-1,9336	30,	8,7388	
4287	-3,5	30,	2,5	
4288	-2,	30,	3,25	
4289	-3,5	30,	4,5	
4290	-2,	30,	5,25	
4291	-3,5	30,	6,5	
4292	-2,5133	30,	3,5555	
4293	-2,5086	30,	5,5607	
4294	-2,8037	30,	0,62113	
4295	-4,0588	30,	8,2557	
4296	-2,5137	30,	6,412	
4297	-2,5226	30,	4,4005	
4298	-2,5	30,	2,3333	
4299	-3,0417	30,	5,7986	
4300	-3,5	30,	3,	
4301	-2,	30,	8,25	
4302	-2,5	30,	7,5	
4303	-1,9978	30,	6,9618	
4304	-3,	30,	7,75	
4305	-3,	30,	6,75	
4306	-3,	30,	4,75	
4307	-3,	30,	2,75	
4308	-3,4299	30,	5,0477	
4309	-3,4331	30,	7,0444	
4310	-4,0764	30,	7,7257	
4311	-4,11	30,	8,7251	
4312	-4,0948	30,	1,265	
4313	-4,0184	30,	1,6678	
4314	-3,2672	30,	3,9328	
4315	-3,751	30,	9,6401	
4316	-2,8333	30,	9,5833	
4317	-1,9167	30,	1,6667	
4318	-1,8349	30,	0,76263	
4319	-3,4249	30,	2,0535	
4320	-3,7396	30,	0,3178	
4321	-3,3447	30,	7,5004	
4322	-4,0512	30,	4,3008	
4323	-4,1522	30,	5,245	
4324	-4,1477	30,	7,2513	
4325	-4,0833	30,	9,5417	
4326	-2,	30,	4,8333	
4327	-2,	30,	2,8333	
4328	-1,8333	30,	9,25	
4329	-3,3617	30,	5,5283	
4330	-4,0625	30,	5,5937	
4331	-4,0625	30,	3,9062	
4332	-2,6612	30,	1,8005	
4333	-1,8486	30,	3,6637	
4334	-1,8486	30,	5,6637	
4335	-2,3333	30,	8,9583	
4336	-2,7917	30,	3,9236	
4337	-2,1864	30,	6,7075	
4338	-2,7115	30,	6,0313	
4339	-1,9583	30,	2,0417	
4340	-2,3135	30,	1,5459	
4341	-2,	30,	7,375	
4342	-4,	30,	3,125	
4343	-4,	30,	6,375	
4344	-3,2703	30,	8,4419	
4345	-2,8333	30,	8,6667	
4346	-3,0956	30,	9,2194	
4347	-1,8027	30,	6,7265	
4348	-1,8164	30,	9,6525	
4349	-1,5	24,838	4,997	
4350	-1,5	19,181	5,0251	
4351	-1,5	13,799	5,0605	
4352	-1,5	9,3807	5,3825	
4353	-1,5	14,937	7,5423	
4354	-1,5	15,154	2,4699	
4355	-1,5	20,664	7,5241	
4356	-1,5	20,625	2,5	
4357	-1,5	10,438	2,625	
4358	-1,5	27,336	6,0208	
4359	-1,5	27,306	3,9442	
4360	-1,5	16,421	5,	
4361	-1,5	21,921	5,	
4362	-1,5	12,625	7,5	
4363	-1,5	7,7188	2,8125	
4364	-1,5	22,739	7,5832	
4365	-1,5	22,748	2,4159	
4366	-1,5	17,25	7,5	
4367	-1,5	17,296	2,367	
4368	-1,5	8,4706	7,5515	
4369	-1,5	25,054	7,4803	
4370	-1,5	25,121	2,5761	
4371	-1,5	11,927	2,485	
4372	-1,5	7,1352	5,6364	
4373	-1,5	11,582	5,2038	
4374	-1,5	10,531	7,5625	
4375	-1,5	27,813	1,9518	
4376	-1,5	27,688	8,	
4377	-1,5	6,662	7,854	
4378	-1,5	18,938	2,5	
4379	-1,5	18,98	7,6397	
4380	-1,5	18,25	3,75	
4381	-1,5	18,184	6,1191	
4382	-1,5	23,75	3,75	
4383	-1,5	23,77	6,1979	
4384	-1,5	13,563	2,5417	
4385	-1,5	8,3594	1,4063	
4386	-1,5	7,1213	1,353	
4387	-1,5	12,838	3,7841	
4388	-1,5	8,6111	3,9975	
4389	-1,5	25,813	1,25	
4390	-1,5	25,813	8,75	
4391	-1,5	13,278	8,763	
4392	-1,5	21,258	3,6983	
4393	-1,5	21,265	6,3071	
4394	-1,5	15,694	3,6813	
4395	-1,5	15,685	6,3357	
4396	-1,5	19,972	3,7946	
4397	-1,5	19,979	6,25	
4398	-1,5	14,479	3,8128	
4399	-1,5	14,438	6,25	
4400	-1,5	9,8746	4,0117	
4401	-1,5	28,688	4,5	
4402	-1,5	26,094	4,4583	
4403	-1,5	26,094	5,5417	
4404	-1,5	28,629	6,6045	
4405	-1,5	16,603	1,3265	
4406	-1,5	22,105	1,3374	
4407	-1,5	23,375	1,25	
4408	-1,5	16,729	8,6471	
4409	-1,5	22,125	8,75	
4410	-1,5	23,375	8,75	
4411	-1,5	11,379	1,3928	
4412	-1,5	20,546	5,0012	
4413	-1,5	15,047	4,9946	
4414	-1,5	12,238	8,7499	
4415	-1,5	13,252	6,1875	
4416	-1,5	9,149	2,5814	
4417	-1,5	19,414	8,6849	
4418	-1,5	19,489	1,2847	
4419	-1,5	14,031	1,2708	
4420	-1,5	26,198	3,2977	
4421	-1,5	26,25	6,75	
4422	-1,5	28,054	3,1718	
4423	-1,5	10,167	1,2974	
4424	-1,5	10,016	8,7813	
4425	-1,5	11,047	6,3438	
4426	-1,5	17,597	1,1979	
4427	-1,5	17,709	8,7846	
4428	-1,5	9,9531	6,4063	
4429	-1,5	11,758	3,8856	
4430	-1,5	14,778	8,6261	
4431	-1,5	7,9476	8,7285	
4432	-1,5	8,9063	6,4375	
4433	-1,5	12,783	1,3301	
4434	-1,5	24,938	3,75	
4435	-1,5	24,938	6,25	
4436	-1,5	20,842	1,3153	
4437	-1,5	20,78	8,724	
4438	-1,5	15,352	1,3109	
4439	-1,5	18,239	5,0805	
4440	-1,5	13,875	7,5	
4441	-1,5	6,0938	5,0625	
4442	-1,5	24,692	8,6149	
4443	-1,5	24,683	1,3787	
4444	-1,5	17,006	6,1151	
4445	-1,5	16,968	3,904	
4446	-1,5	22,542	6,1632	
4447	-1,5	22,468	3,9016	
4448	-1,5	23,925	2,4156	
4449	-1,5	23,929	7,5595	
4450	-1,5	6,7471	4,4378	
4451	-1,5	28,81	8,1823	
4452	-1,5	28,871	1,7158	
4453	-1,5	7,8125	6,625	
4454	-1,5	6,0561	6,0428	
4455	-1,5	6,4254	8,9454	
4456	-1,5	8,2813	5,4375	
4457	-1,5	6,0547	1,7031	
4458	-1,5	12,672	5,1425	
4459	-1,5	10,446	5,269	
4460	-1,5	12,117	6,2969	
4461	-1,5	16,188	2,5	
4462	-1,5	16,15	7,5521	
4463	-1,5	21,688	2,5	
4464	-1,5	21,688	7,5	
4465	-1,5	27,394	9,0565	
4466	-1,5	27,395	0,98512	
4467	-1,5	11,578	7,5313	
4468	-1,5	9,4844	7,5938	
4469	-1,5	26,09	7,6249	
4470	-1,5	26,031	2,25	
4471	-1,5	8,9886	8,7192	
4472	-1,5	11,039	8,7656	
4473	-1,5	27,554	6,9163	
4474	-1,5	28,688	5,5	
4475	-1,5	27,375	5,	
4476	-1,5	6,5541	2,0146	
4477	-1,5	29,456	2,7765	
4478	-1,5	6,9884	4,0154	
4479	-1,5	27,542	3,25	
4480	-1,5	7,5394	4,4912	
4481	-1,5	6,1458	7,5417	
4482	-1,5	7,2569	6,9306	
4483	-1,5	29,128	3,208	
4484	-1,5	10,531	3,9097	
4485	-1,5	8,9756	1,3002	
4486	-1,5	15,201	8,3158	
4487	-1,5	18,854	8,75	
4488	-1,5	18,164	1,2426	
4489	-1,5	11,352	3,5124	
4490	-1,5	15,802	9,4852	
4491	-1,5	27,004	1,5091	
4492	-1,5	26,433	8,1094	
4493	-1,5	18,063	8,3333	
4494	-1,5	26,5	2,5301	
4495	-1,5	9,8385	1,7813	
4496	-1,5	28,386	7,1205	
4497	-1,5	28,669	0,52462	
4498	-1,5	28,623	8,8309	
4499	-1,5	6,1611	1,1126	
4500	-1,5	17,667	5,	
4501	-1,5	23,158	4,9215	
4502	-1,5	7,712	7,7423	
4503	-1,5	28,903	7,1667	
4504	-1,5	10,792	2,1806	
4505	-1,5	19,844	1,6204	
4506	-1,5	19,854	8,3333	
4507	-1,5	18,766	6,0994	
4508	-1,5	19,335	3,8178	
4509	-1,5	19,527	7,6257	
4510	-1,5	17,813	7,5	
4511	-1,5	18,435	2,5243	
4512	-1,5	20,112	2,3866	
4513	-1,5	6,1823	4,5104	
4514	-1,5	27,861	1,1351	
4515	-1,5	6,0729	2,2153	
4516	-1,5	8,0616	0,99479	
4517	-1,5	14,374	1,6377	
4518	-1,5	28,669	2,2674	
4519	-1,5	7,399	8,7754	
4520	-1,5	24,604	6,6667	
4521	-1,5	24,271	2,9167	
4522	-1,5	24,083	5,8333	
4523	-1,5	23,083	7,0833	
4524	-1,5	23,417	3,3333	
4525	-1,5	24,392	4,5189	
4526	-1,5	17,9	3,3931	
4527	-1,5	19,035	4,6634	
4528	-1,5	10,875	4,3148	
4529	-1,5	27,103	7,3918	
4530	-1,5	13,895	3,8291	
4531	-1,5	14,674	2,423	
4532	-1,5	13,079	2,6183	
4533	-1,5	14,138	7,8863	
4534	-1,5	26,807	8,8735	
4535	-1,5	7,9323	2,3438	
4536	-1,5	10,479	0,875	
4537	-1,5	21,104	8,3333	
4538	-1,5	21,396	2,0833	
4539	-1,5	15,896	2,0833	
4540	-1,5	22,752	9,5916	
4541	-1,5	22,417	0,83333	
4542	-1,5	18,569	9,1667	
4543	-1,5	12,544	1,7434	
4544	-1,5	22,171	6,6366	
4545	-1,5	21,969	2,9167	
4546	-1,5	16,647	6,5726	
4547	-1,5	16,469	2,9167	
4548	-1,5	14,251	8,7729	
4549	-1,5	5,579	8,095	
4550	-1,5	12,383	0,64063	
4551	-1,5	12,219	4,4583	
4552	-1,5	12,362	3,2775	
